D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/cnn/cnn_train.py
1010 	 train_loss:0.01768072135746479 	 test_loss: 0.020105676725506783 	 test_min_loss: 0.020105676725506783 	 difference: 0.002424955368041992 	 comp_acc:0 	 relative_acc:0
1020 	 train_loss:0.017648747190833092 	 test_loss: 0.020079337060451508 	 test_min_loss: 0.020079337060451508 	 difference: 0.002430589869618416 	 comp_acc:0 	 relative_acc:0
1030 	 train_loss:0.01761726662516594 	 test_loss: 0.020051728934049606 	 test_min_loss: 0.020051728934049606 	 difference: 0.002434462308883667 	 comp_acc:0 	 relative_acc:0
1040 	 train_loss:0.017585882917046547 	 test_loss: 0.020026665180921555 	 test_min_loss: 0.020026665180921555 	 difference: 0.0024407822638750076 	 comp_acc:0 	 relative_acc:0
1050 	 train_loss:0.01755465939640999 	 test_loss: 0.02000175416469574 	 test_min_loss: 0.02000175416469574 	 difference: 0.0024470947682857513 	 comp_acc:0 	 relative_acc:0
1060 	 train_loss:0.017523759976029396 	 test_loss: 0.01997644267976284 	 test_min_loss: 0.01997644267976284 	 difference: 0.002452682703733444 	 comp_acc:0 	 relative_acc:0
1070 	 train_loss:0.017492521554231644 	 test_loss: 0.01995137147605419 	 test_min_loss: 0.01995137147605419 	 difference: 0.002458849921822548 	 comp_acc:0 	 relative_acc:0
1080 	 train_loss:0.01746172271668911 	 test_loss: 0.019926754757761955 	 test_min_loss: 0.019926754757761955 	 difference: 0.0024650320410728455 	 comp_acc:0 	 relative_acc:0
1090 	 train_loss:0.01743161864578724 	 test_loss: 0.01990211382508278 	 test_min_loss: 0.01990211382508278 	 difference: 0.00247049517929554 	 comp_acc:0 	 relative_acc:0
1100 	 train_loss:0.017402013763785362 	 test_loss: 0.019878171384334564 	 test_min_loss: 0.019878171384334564 	 difference: 0.002476157620549202 	 comp_acc:0 	 relative_acc:0
1110 	 train_loss:0.017371265217661858 	 test_loss: 0.019853243604302406 	 test_min_loss: 0.019853243604302406 	 difference: 0.0024819783866405487 	 comp_acc:0 	 relative_acc:0
1120 	 train_loss:0.0173417329788208 	 test_loss: 0.019827771931886673 	 test_min_loss: 0.019827771931886673 	 difference: 0.002486038953065872 	 comp_acc:0 	 relative_acc:0
1130 	 train_loss:0.017312146723270416 	 test_loss: 0.019802730530500412 	 test_min_loss: 0.019802730530500412 	 difference: 0.0024905838072299957 	 comp_acc:0 	 relative_acc:0
1140 	 train_loss:0.017282675951719284 	 test_loss: 0.019778553396463394 	 test_min_loss: 0.019778553396463394 	 difference: 0.00249587744474411 	 comp_acc:0 	 relative_acc:0
1150 	 train_loss:0.017254605889320374 	 test_loss: 0.01975669153034687 	 test_min_loss: 0.01975669153034687 	 difference: 0.002502085641026497 	 comp_acc:0 	 relative_acc:0
1160 	 train_loss:0.017224803566932678 	 test_loss: 0.019733034074306488 	 test_min_loss: 0.019733034074306488 	 difference: 0.00250823050737381 	 comp_acc:0 	 relative_acc:0
1170 	 train_loss:0.01719619892537594 	 test_loss: 0.01971062272787094 	 test_min_loss: 0.01971062272787094 	 difference: 0.0025144238024950027 	 comp_acc:0 	 relative_acc:0
1180 	 train_loss:0.017167389392852783 	 test_loss: 0.019686587154865265 	 test_min_loss: 0.019686587154865265 	 difference: 0.0025191977620124817 	 comp_acc:0 	 relative_acc:0
1190 	 train_loss:0.017138754948973656 	 test_loss: 0.01966424472630024 	 test_min_loss: 0.01966424472630024 	 difference: 0.002525489777326584 	 comp_acc:0 	 relative_acc:0
1200 	 train_loss:0.017110278829932213 	 test_loss: 0.019643116742372513 	 test_min_loss: 0.019643116742372513 	 difference: 0.0025328379124403 	 comp_acc:0 	 relative_acc:0
1210 	 train_loss:0.017082612961530685 	 test_loss: 0.019620146602392197 	 test_min_loss: 0.019620146602392197 	 difference: 0.0025375336408615112 	 comp_acc:0 	 relative_acc:0
1220 	 train_loss:0.01705377735197544 	 test_loss: 0.019596872851252556 	 test_min_loss: 0.019596872851252556 	 difference: 0.002543095499277115 	 comp_acc:0 	 relative_acc:0
1230 	 train_loss:0.017026033252477646 	 test_loss: 0.01957523822784424 	 test_min_loss: 0.01957523822784424 	 difference: 0.0025492049753665924 	 comp_acc:0 	 relative_acc:0
1240 	 train_loss:0.016998058184981346 	 test_loss: 0.01955161802470684 	 test_min_loss: 0.01955161802470684 	 difference: 0.0025535598397254944 	 comp_acc:0 	 relative_acc:0
1250 	 train_loss:0.01697036623954773 	 test_loss: 0.01953073777258396 	 test_min_loss: 0.01953073777258396 	 difference: 0.002560371533036232 	 comp_acc:0 	 relative_acc:0
1260 	 train_loss:0.016943717375397682 	 test_loss: 0.01950964331626892 	 test_min_loss: 0.01950964331626892 	 difference: 0.0025659259408712387 	 comp_acc:0 	 relative_acc:0
1270 	 train_loss:0.01691545359790325 	 test_loss: 0.019485943019390106 	 test_min_loss: 0.019485943019390106 	 difference: 0.0025704894214868546 	 comp_acc:0 	 relative_acc:0
1280 	 train_loss:0.016888177022337914 	 test_loss: 0.019463585689663887 	 test_min_loss: 0.019463585689663887 	 difference: 0.0025754086673259735 	 comp_acc:0 	 relative_acc:0
1290 	 train_loss:0.016861628741025925 	 test_loss: 0.019442789256572723 	 test_min_loss: 0.019442789256572723 	 difference: 0.0025811605155467987 	 comp_acc:0 	 relative_acc:0
1300 	 train_loss:0.016835089772939682 	 test_loss: 0.019419604912400246 	 test_min_loss: 0.019419604912400246 	 difference: 0.0025845151394605637 	 comp_acc:0 	 relative_acc:0
